Mode of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1317,1659,1715,7.2,7.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),594,1471,1517,6.4,6.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),3101,1630,1685,7.1,7.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),180,1735,1827,8.9,9.3
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1044,1702,1760,7.5,7.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1256,1640,1692,6.9,7.1
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),598,1446,1491,6.2,6.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3754,1650,1711,7.6,7.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),235,1789,1876,9.7,10.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1546,1696,1746,7.7,8.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1402,1649,1724,7.5,7.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,16,016,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),543,1467,1515,6.3,6.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,17,017,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),847,1306,1362,7.5,7.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,17,017,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),63,1790,1822,14.2,14.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,17,017,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),267,1433,1496,9.0,9.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,17,017,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),358,1193,1253,5.9,6.1
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,17,017,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),147,1099,1154,5.2,5.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,17,017,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),787,1290,1349,7.2,7.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,17,017,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),62,1752,1777,13.0,13.1
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,17,017,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),228,1466,1542,9.1,9.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,17,017,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),350,1173,1232,5.9,6.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,17,017,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),135,1050,1108,4.6,5.0
