Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,18,Utah Valley University Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),14,1557,1557,5.6,5.6
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),43,2104,2106,16.0,16.0
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),3,1121,1121,7.0,7.0
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),19,2239,2239,17.5,17.5
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),12,2526,2526,20.5,20.5
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),10,1592,1614,10.0,10.1
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),65,2174,2176,16.8,16.8
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),4,1040,1040,6.2,6.2
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),31,2279,2279,18.0,18.0
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),17,2658,2658,22.0,22.0
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),14,1631,1656,10.5,10.6
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),5,1348,1348,6.1,6.1
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),2,1543,1543,7.4,7.4
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),2,1082,1082,3.9,3.9
Personal,Visitors,Trip Start,19,Utah Valley University Library - Fire Science Campus (Provo Airport),no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),1,1293,1293,6.6,6.6
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),422,1444,1492,2.8,3.0
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),7,1075,1138,1.8,1.9
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),10,1402,1394,4.6,4.6
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),106,1525,1551,3.1,3.2
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),157,1514,1563,2.9,3.1
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),142,1322,1392,2.3,2.6
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),563,1411,1461,2.6,2.8
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),9,1031,1078,1.5,1.6
